File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
rt-thread/tools/kconfig-frontends/frontends/mconf/mconf.c,780,5,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"    vsnprintf(buf, sizeof(buf), fmt, ap);",417f0f62d45616e9edde59ca6c05eea7f8ecc32dff8197b2f87282309dc2e1e5,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/mconf/mconf.c,1045,9,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"        fprintf(stderr, N_(""Your display is too small to run Menuconfig!\n""));",0325b35c583916e491544837fbade9a13970eb1024ca4cfa68a8a86144e7604f,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/mconf/mconf.c,1046,9,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"        fprintf(stderr, N_(""It must be at least 19 lines by 80 columns.\n""));",2ee099ee86d2a45ad4ae741775ed25ae4fb9f40957bfab9060b71268baa406f5,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/mconf/mconf.c,1055,9,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"        fprintf(stderr, N_(""Debug mode,don't display menuconfig window.\n""));",e3cf800004f38efc43a33bfd0cebb2091bccbd5d4248df0e6081ea447bbfa284,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/nconf/nconf.c,542,2,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vsnprintf(k_menu_items[items_num].str,",b8f5b6aa2be42beec356418d3d00837f98adce117e88247a8b80d509e5c4f030,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/nconf/nconf.c,576,2,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vsnprintf(new_str, sizeof(new_str), fmt, ap);",25a8b3e6d2de45591f2da5f2fc1dbe27612b78abc77f0e32872f4031ddae12e8,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/nconf/nconf.c,1217,2,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vsnprintf(buf, sizeof(buf), fmt, ap);",417f0f62d45616e9edde59ca6c05eea7f8ecc32dff8197b2f87282309dc2e1e5,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/qconf/qconf.cc,1094,24,4,4,format,sprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"					head += QString().sprintf(""<a href=\""s%p\"">"", sym);",ecb67fa433fbb6862e535936c1093573367620b1955c1f0de7b9d9f052e230ae,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/qconf/qconf.cc,1103,23,4,4,format,sprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"				head += QString().sprintf(""<a href=\""s%p\"">"", sym);",ecb67fa433fbb6862e535936c1093573367620b1955c1f0de7b9d9f052e230ae,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/qconf/qconf.cc,1131,22,4,4,format,sprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"		debug += QString().sprintf(""defined at %s:%d<br><br>"", _menu->file->name, _menu->lineno);",b3e91ce39182990af35944ce5dd2faf8595a368fd77e79d00be8ab631caa19d4,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
